Gew_Nr,Gew_Name,l_total ,l_offen,l_offiziell_eingedolt,l_inoff_eingedolt,mögliche Ausdolung,Parzellen,Ausdolungspotenzial,Bemerkung,Foto im Bericht,Link zu GeoView BL,Informationsblatt,Eigentümer,Bewirtschafter,Gemeinde,Bezirk
22.204,Weiherbächli,1910,930,980,,(300),,0,Ausdolung bereits erfolgt; restliche ca. 300 m der Eindolung verlaufen im Dorfkern ,-,,,,,Frenkendorf,Liestal
,Verlängerung Weiherbächli im Tälchen unterhalb Adlerhof,,,,,> 300,div.,5,"Gute Wasserführung aus Quelle 34.9.E, Abfluss heute z.T. oberirdisch im vernässten Weideland; gute Vernetzungswirkung Richtung Wald",22.204,Plan-link,Frenkendorf_Eindolungen_Bericht,,,Frenkendorf,Liestal
22.205,Rütenenbächli,290,130,160,,160,,3,"weitgehend FFF, Wasserführung gering, Eindolung teilweise durch alte Deponie überdeckt; Vernetzungswirkung zu isoliertem Wäldchen im oberen Teil wäre gross",22.205,Plan-link,Frenkendorf_Eindolungen_Bericht,,,Frenkendorf,Liestal
40.05,Orisbach,860,840,20,,,,0,,-,,,,,Lupsingen,Liestal
40.52,Riedbächli,100,100,0,,,,0,,-,,,,,Lupsingen,Liestal
,2 Drainagesysteme nördlich Riedbächli 40.52,,,,,2 x 250,,3,,S. 2,Plan-link,Lupsingen_Eindolungen_Bericht,,,Lupsingen,Liestal
40.98,Ruestelbächli,1050,970,80,,,,0,,-,,,,,Lupsingen,Liestal
40.156,Hagenbächli,160,140,20,,,,0,,-,,,,,Lupsingen,Liestal
,Drainagesystem in nord-östlicher  Verlängerung des Hagenbächlis,,,,,< 100,,2,kaum regelmässige Wasserführung zu erwarten,-,Plan-link,,,,Lupsingen,Liestal
40.201,Langmattbächli,1370,540,830,,230,,5,"Ausdohlung entlang Strasse gemäss Wasserbaukonzept vorgesehen, zusammen mit der aus Süden einmündenden Drainage gute Vernetzungswirkung; im unteren Abschnitt Revitalisierung gemäss Wasserbaukonzept",40.201,Plan-link,Lupsingen_Eindolungen_Bericht,,,Lupsingen,Liestal
,Drainage südöstlich Langmattbächli,,,,,> 300,,5,"Zumindest teilweise Offenlegung im unteren Abschnitt, gute Vernetzungswirkung zusammen mit Offenlegung von 40.201 (Langmattbächli)",40.201,Plan-link,Lupsingen_Eindolungen_Bericht,,,Lupsingen,Liestal
40.202,Gartenbächli,230,100,130,,,,0,,-,,,,,Lupsingen,Liestal
40.203,Stegmattenbächli,90,90,0,,,,0,,-,,,,,Lupsingen,Liestal
39.04,Ergolz,3630,3630,0,,,,0,Renaturierung gemäss Richtplan vorgesehen; Baulicher Hochwasserschutz/Revitalisieriung  gemäss Wasserbaukonzept,-,,,,,Liestal,Liestal
39.05,Orisbach,3260,3200,60,,,,0,Renaturierung für Abschnitt Knoll - Ergolz gemäss Richtplan vorgesehen; Baulicher Hochwasserschutz im Siedlungsgebiet gemäss Wasserbaukonzept; oberster Abschnitt als Überflutungs- und Retentionsgebiet,-,,,,,Liestal,Liestal
39.08,Frenke,1950,1950,0,,,,0,Gemäss Wasserbaukonzept: Baulicher Hochwasserschutz im Bereich Hanro und Revitalisierung bei der Einmündung in die Ergolz,-,,,,,Liestal,Liestal
39.64,Rösernbach,5400,4850,550,,,,0,,-,,,,,Liestal,Liestal
,Drainagesystem im Gebiet Meienboden nödlich 39.64,,,,500,,,3,"im den oberen Teilen vermutlich geringe Wasserführung; intensive ackerbauliche Nutzung, unterer Abschnitt ev. prüfenswert",39.64,Plan-link,Liestal_Eindolungen_Bericht,,,Liestal,Liestal
39.142,Chueftelbächli,260,260,0,,,,0,,-,,,,,Liestal,Liestal
39.144,Dugmattbächli,210,210,0,,,,0,,-,,,,,Liestal,Liestal
39.150,Elbisbergbächli,10,10,0,,,,0,,-,,,,,Liestal,Liestal
39.201,Bintalbächli,1600,1020,580,, -,4168; 3282,0,Im Familiengartenareal ist aufgrund der intensiven Nutzung eine Öffnung kaum zu realisieren; in der Schiessanlage wurde das Gelände stark aufgeschüttet. Das Bintalbächli führt zudem nur nach Starkregen und über kurze Zeit Wasser.,39.201,Plan-link,Liestal_Eindolungen_Bericht,4168: Kanton BL;                  3282: EWG Liestal / VBS,,Liestal,Liestal
39.202,Dietrichsbrunnenbächli,460,350,110,,,,0,,-,,,,,Liestal,Liestal
39.203,Elbisbächli,1600,590,1010,,170,4558,4,unterer Abschnitt zwischen Heinis und Fraumattstrasse:  falls Öffnung entlang der heutigen Eindolung nicht möglich erscheint wäre offene Bachführung entlang der Siedlungsgrenze denkbar,39.203,Plan-link,Liestal_Eindolungen_Bericht,"SBB, 3000 Bern",,Liestal,Liestal
,,,,,,,10,,,,,,Ida Salathe (Erbengem.),,Liestal,Liestal
,,,,,,240,1993,4,oberster Abschnitt zwischen Deponie Elbisgraben und Elbis-Weiher (39.445):  offene Führung trotz streckenweiser Versickerung des permanent fliessenden Sauberwassers aus dem Gebiet Elbisgraben anzustreben; ev. Rückhaltesystem für Starkregen optimieren,39.203,Plan-link,Liestal_Eindolungen_Bericht,Gemeinde Liestal,,Liestal,Liestal
39.204,Leberbrunnenbächli,300,240,60,,,,0,,-,,,,,Liestal,Liestal
39.205,Schämpergbächli,1020,780,240,,> 300,300,5,Westast und Eindolung in der Verlängerung zum Weiher: Ausdolung würde gute Vernetzung bringen,39.205,Plan-link,Liestal_Eindolungen_Bericht,"Bad Schauenburg AG, Liestal",,Liestal,Liestal
39.206,Vogelsangbächli,330,120,210,,,,0,,-,,,,,Liestal,Liestal
39.207,Weidelibächli,520,160,360,,,,0,"ganzer Oberlauf bis zum Fuss der Deponie Höli in offener Bachführung, Wasserführung nur nach Regen; zusätzliche Flachweiher am Deponiefuss",39.207,Plan-link,Liestal_Eindolungen_Bericht,,,Liestal,Liestal
5.12,Violenbach,4590,4410,180,,,,?,"ev. Verlängerung in Talachse oberhalb Hof ""Sennweid""?",-,,,,,Arisdorf,Liestal
,Drainagesystem südlich des Violenbachs 5.12  ,,,,,300,,4,Ausdolung entlang Weg wäre mit bereits bestehender Hecke wertvolles Landschafts-/Vernetzungselement (Fusswegverbindung entlang Hecke geplant); vermutlich bescheidene Wasserführung  ,5.12,Plan-link,Arisdorf_Eindolungen_Bericht_Ost,"7500: Staatl. Pestalozzistiftung; 7003: Rufener-Richen R., Olsberg",,Arisdorf,Liestal
5.13,Arisdörferbach,4480,3790,690,,,,0,im Siedlungsgebiet Hochwasserschutz gemäss Wasserbaukonzept,-,,,,,Arisdorf,Liestal
,Drainagesystem unterhalb Hof Homberg  ,,,,,300,,4,Ausdolung im bereits naturnahen Graben wäre wertvolles Landschafts-/Vernetzungselement; vermutlich geringe Wasserführung ,5.13,Plan-link,Arisdorf_Eindolungen_Bericht_West,4056: Straumann-Kiefer W. (EG);      7012: Hofmann-Schmutz M. Arisd.,,Arisdorf,Liestal
S 4,Ehemaliger Mühlekanal,,,,,< 200,,3,Ausdolung/Rekonstruktion im mittleren Abschnitt denkbar (eher kulturhistorische Aufwertungsmassnahme); Speisung aus Bradlizbach 5.201? ,5.13,Plan-link,Arisdorf_Eindolungen_Bericht_West,,,Arisdorf,Liestal
S 5,Drainagesystem westlich des Arisdörferbachs 5.13  ,,,> 300,,300,7178:7180,4,im obersten und untersten untern Teil FFF;  dazwischen Weide; Vernetzungswirkung mässig (Autobahn); Wasserführung ?,5.13,Plan-link,Arisdorf_Eindolungen_Bericht_West,,,Arisdorf,Liestal
5.38,Zettelbach,1120,1120,0,,320,,4,"In Verlängerung des südlichen Hauptastes besteht Drainagesystem mit gewissem Ausdolungspotential (v.a. unterer Abschnitt im Weideland), Wasserführung vermutlich bescheiden, aber als Landschafts-/Vernetzungselement wertvoll; im obersten Abschnitt: FFF, Wiese/Intensivkirschkulturen",5.38,Plan-link,Arisdorf_Eindolungen_Bericht_West,"7130: Gruber Andreas, Arisdorf; 7134: Zwimpfer Thomas, Arisdorf",,Arisdorf,Liestal
5.201,Bradlizbach,1410,910,500,,220,7058,4,Ausdolung wäre als Landschafts-/Vernetzungselement wertvoll; gute Wasserführung;                                             im Siedlungsgebiet Hochwasserschutz gemäss Wasserbaukonzept,5.201,Plan-link,Arisdorf_Eindolungen_Bericht_Ost,"7061: Gerber Thomas, Bösingen; 7058: Stohler Fritz, Arisdorf",,Arisdorf,Liestal
,Drainagesystem südlich des Bradlizbaches,,,,,300,,2,"Ausdolung würde intensiv genutztes Kulturland (FFF) zerschneiden, wäre aber als Landschafts-/Vernetzungselement wertvoll; gute Wasserführung ",5.201,Plan-link,Arisdorf_Eindolungen_Bericht_Ost,"7082: Weber-Dalcher, Arisdorf,  7083: Miescher Thomas, Arisdorf",,Arisdorf,Liestal
5.202,Chänelbach,780,740,40,,,,0,,-,,,,,Arisdorf,Liestal
5.203,Hinteres Chatzengrabenbächli,330,70,260,,200,7162,3,Ausdolung im oberen Abschnitt denkbar aber ohne grossen Stellenwert; im unteren Abschnitt würde intensiv genutztes Kulturland der Parzelle 7162 zerschnitten,5.203,Plan-link,Arisdorf_Eindolungen_Bericht_West,"7162: Beat Häring, Arisdorf",,Arisdorf,Liestal
5.204,Erlenbächli,230,220,10,,,,0,,-,,,,,Arisdorf,Liestal
5.205,Griesbächli,250,120,130,,,,0,zusammen mit 5.201 Bradlizbach prüfen,5.201,Plan-link,Arisdorf_Eindolungen_Bericht_Ost,,,Arisdorf,Liestal
5.206,Nonnenbächli,170,160,10,,,,0,,-,,,,,Arisdorf,Liestal
5.207,Saffholterenbach,400,400,0,,,,0,,-,,,,,Arisdorf,Liestal
5.208,Schöffletenbächli,940,340,600,,530,7097,5,"Ausdolung im oberen Teil technisch gut machbar (bereits Ökofläche, Eigentum Gemeinde); im unteren Teil ev. Bachführung entlang dem südlichen Waldrand; gute Wasserführung,                                                                       Schutzzone für Quellen 31.2.A und 31.5.A steht Ausdolung entgegen",5.208,Plan-link,Arisdorf_Eindolungen_Bericht_Ost,,,Arisdorf,Liestal
5.209,Widenbach,1300,700,600,,> 400,7160; 7161; 7162,5,"Ausdolung der langen Strecke  im Oberlauf wäre sehr wertvoll (Vernetzung, Landschaftselement), Wasserführung dank seitlicher Drainagesysteme gut, Bachlauf eher südlich entlang dem Weg, da Beschränkung Bewirtschaftung/Schattenwurf geringer (gilt aber auch als FFF)",5.209,Plan-link,Arisdorf_Eindolungen_Bericht_West,"7160: Steiner Max, Arisdorf;          7161: Schuler Walter, Arisdorf",,Arisdorf,Liestal
,Drainagesystem südlich des eingedolten Abschnitts,,,> 400,,200,7159;7160,2,"Ausdolung würde intensiv genutztes Kulturland (FFF) der Parzellen 7159/7160 zerschneiden, wäre aber als Landschafts-/Vernetzungselement wertvoll; gute Wasserführung",5.209,Plan-link,Arisdorf_Eindolungen_Bericht_West,,,Arisdorf,Liestal
,Drainagesystem westlich des Widenbachs 5.209,,,> 300,,400,7135; 7136; 7139,5,"Ausdolung entlang Weg (FFF) und in feuchter Geländemulde wäre wertvolles Landschafts-/Vernetzungselement; vermutlich gute Wasserführung  (Quelle am oberen Ende),",5.209,Plan-link,Arisdorf_Eindolungen_Bericht_West,"7135: Zwimpfer Thomas, Arisdorf; 7136: Schuler Walter, Arisdorf; 7139: Häring Beat, Arisdorf",,Arisdorf,Liestal
S 3,Drainagesystem nördlich des Widenbachs 5.209,,,> 300,,400,7116; 7118,4,"im untern Teil intensiv bewirtschaftete FFF; vermutlich geringe Wasserführung  ,",5.209,Plan-link,Arisdorf_Eindolungen_Bericht_West,,,Arisdorf,Liestal
5.210,Zimmermannsbächli,260,200,60,,,,0,Querung Autobahn,-,,,,,Arisdorf,Liestal
5.211,Vorderes Chatzengrabenbächli,730,220,510,,> 400,,4,"Ausdolung allenfalls im mittleren/oberen Abschnitt (Parz. 7165; 7168), während unterer Teil (Parz. 7143; 7145; 7153) intensiv bewirtschaftete FFF betrifft, Wasserführung vermutlich bescheiden",5.211,Plan-link,Arisdorf_Eindolungen_Bericht_West,"7145 und 7153: Häring-Wyss/Häring-Reist, einf. Gesellschaft ",,Arisdorf,Liestal
5.212,Gerimattbächli,150,0,150,,,,0,,-,,,,,Arisdorf,Liestal
15.06,Hintere Frenke,3480,3480,0,,,,0,Revitalisierungund im Siedlungsgebiet baulicher Hochwasserschutz gemäss Wasserbaukonzept vorgesehen,-,,,,,Bubendorf,Liestal
,Drainage im Gebiet Falkenrain (w. 15.06),,,> 300,,100,2406,4,"vermutlich nur geringe Wassermenge, ev. Quellüberlauf (33.26.E), ev. besseres Potenzial bei Drainage/Eindolung westlich des Hofs (Verlängerung 15.204 Öschbächli, Überlauf Quellen)",S. 1 + 2,Plan-link,Bubendorf_Eindolungen_Bericht,,,Bubendorf,Liestal
15.07,Vordere Frenke,2960,2960,0,,,,0,Revitalisierungund gemäss Wasserbaukonzept vorgesehen,-,,,,,Bubendorf,Liestal
15.08,Frenke,790,790,0,,,,0,,-,,,,,Bubendorf,Liestal
15.34,Fluebach,1880,1860,20,,,,0,,-,,,,,Bubendorf,Liestal
15.37,Schlossgrabenbächli,230,230,0,,,,0,,-,,,,,Bubendorf,Liestal
15.52,Riedbächli,2120,1970,150,,0,,0,"Bach wurde in verschiedenen Abschnitten innerhalb des Waffenplatzes umgelegt (siehe Planlink), nur noch 3 kurze Eindolungen (max. 40 m), zusätzlicher offener Seitenast von Süden her (ca. 200 m, im Gewässerverzeichnis nicht erfasst)",S. 2,Plan-link,Bubendorf_Eindolungen_Bericht,,,Bubendorf,Liestal
15.53,Sormattbächli,1320,1310,10,,,,0,,-,,,,,Bubendorf,Liestal
15.54,Tannenbodenbächli,600,600,0,,,,0,,-,,,,,Bubendorf,Liestal
15.155,Teufelenbächli,1180,930,250,,200,,1,"Öffnung der eingedolten Strecken wäre sehr aufwändig, da zuerst Platz geschaffen werden müsste (im Hofbereich und entlang Campingplatz); Baulicher Hochwasserschutz gemäss Wasserbaukonzept",-,Plan-link,,,,Bubendorf,Liestal
15.201,Grosstannenbächli,720,680,40,,,,0,,-,,,,,Bubendorf,Liestal
,Drainagesystem in Verlängerung des Grosstannenbächlis,,,,,250,,3,Ackerfläche (ev. offene Führung entlang Hangfuss möglich?),15.201,Plan-link,Bubendorf_Eindolungen_Bericht,,,Bubendorf,Liestal
15.202,Imlisbergbächli,1020,820,200,,,,0,"Entgegen dem Gewässerkataster bereits offene Bachführung am Hof 'Oberes Talhaus' vorbei, Potential besteht eher bezüglich Bachraumgestaltung/Bepflanzung",15.202,Plan-link,Bubendorf_Eindolungen_Bericht,,,Bubendorf,Liestal
,Drainagesystem in Verlän-gerung des Imlisbergbächlis,,,,,200,,3,"Vermutlich nur bescheidene Wasserführung, Ausdolung der Drainage vom Waldrand her aber prüfenswert",15.202,Plan-link,Bubendorf_Eindolungen_Bericht,,,Bubendorf,Liestal
15.203,Kapfbächli,470,330,140,,,,5,Freilegung entlang der Strasse Bubendorf - Seltisberg wäre gut machbar (Ostrand des Waffenplatzes) und brächte bessere Vernetzung,15.203,Plan-link,Bubendorf_Eindolungen_Bericht,,,Bubendorf,Liestal
15.204,Öschbächli,530,530,0,,,,0,siehe: Drainage westlich Hof Falkenrain,-,,,,,Bubendorf,Liestal
15.205,Sunnweidbächli,500,260,240,,240,,4,"Ausdohlung entlang Weg / Parzellengrenzen sollte geprüft werden, da gute Vernetzungswirkung",15.205,Plan-link,Bubendorf_Eindolungen_Bericht,,,Bubendorf,Liestal
15.206,Talholdenbächli,380,320,60,,?,,2,Offene Bachführung wäre grundsätzlich machbar,-,Plan-link,,,,Bubendorf,Liestal
15.207,Wildensteinerbächli,2020,1560,460,,,,1,"Verlauf vollumfänglich im Siedlungsgebiet, auch alternative Bachführung durch Gewerbezone dürfte kaum mehr in Frage kommen; Baulicher Hochwasserschutz gemäss Wasserbaukonzept vorgesehen",15.207,Plan-link,Bubendorf_Eindolungen_Bericht,,,Bubendorf,Liestal
,vermutete Drainage in Ver-längerung des Ost-Astes von 15.207,,,,,200,,4,vermutete Drainage (nicht im Meliorationskataster erfasst);  Ausdolung vom Waldrand her aber prüfenswert als Aufwertungselement im Schutzgebiet Wildenstein,15.207,Plan-link,Bubendorf_Eindolungen_Bericht,,,Bubendorf,Liestal
25.12,Violenbach,1700,1560,140,,,,0,nur Querungen mit Strassen/Autobahn eingedolt,-,,,,,Giebenach,Liestal
25.13,Arisdörferbach,10,10,0,,,,0,,-,,,,,Giebenach,Liestal
25.38,Zettelbach,690,370,320,,,,0,,-,,,,,Giebenach,Liestal
25.40,Ruschenbächli,1150,1010,140,,,,0,siehe auch 23.40 für Ast auf Gebiet der Gemeinde Füllinsdorf,25.40,Plan-link,Giebenach_Eindolungen_Bericht,,,Giebenach,Liestal
,"Ruschenbächl, Seitenast Richtung Südosten",,,,bis zu 300 unter Einbezug der Drainage,,,1,"vollumfänglich FFF und intensiver Ackerbau/Kirschbaumgarten (-> Ausdolung höchstens entlang Weg), im untersten Abschnitt wird alte Deponie unterquert, Speisung ausschliesslich aus Drainagesystem mit begrenztem Einzugsgebiet",-,Plan-link,,,,Giebenach,Liestal
25.201,Dingbächli,600,270,330,,,,0,"eingedolter Abschnitt vollumfänglich im bereits überbauten Gebiet, kein Platz, Erosionsgefahr aufgrund des grossen Gefälles;    Wasser stammt vermutlich v.a. aus Drainagesystem auf der Hochebene; Baulicher Hochwasserschutz gemäss Wasserbaukonzept",25.201,,Giebenach_Eindolungen_Bericht,,,Giebenach,Liestal
72.06,Hintere Frenke,3900,3900,0,,,,0,"Aufwertung/Hochwasserschutz im Siedlungsgebiet gemäss Richtplan/Wasserbaukonzept vorgesehen, Revitalisierung im Abschnitt is Grenze Frenkendorf",-,,,,,Ziefen,Liestal
,Drainagesystem im Gebiet Bickenberg,,,,400,200,,5,Öffnung bis zur Voreichstrasse hinunter würde Vernetzung des Biotops Bickenberg verbessern,S. 1,Plan-link,Ziefen_Eindolungen_Bericht,,,Ziefen,Liestal
,Drainagesystem im Gebiet Chächbrunnen/Eggen-scheiden,,,,> 300,150,,4,,S. 1,Plan-link,Ziefen_Eindolungen_Bericht,,,Ziefen,Liestal
72.32,Bütschenbächli,490,440,50,,,,0,,-,,,,,Ziefen,Liestal
72.33,Cholmattbach,1130,1100,30,,,,0,,-,,,,,Ziefen,Liestal
72.52,Riedbächli,1980,700,1280,,ca. 700,,5,"im unteren Abschnitt bis zur Verbindungsstrasse Ziefen-Lupsingen unbedingt anzustreben (gemäss Wasserbaukonzept zur Ausdolung vorgesehen), im oberen Abschnitt würde grosse Ackerflächen zerschnitten",72.52,Plan-link,Ziefen_Eindolungen_Bericht,,,Ziefen,Liestal
72.113,Widenmattbächli,200,200,0,,,,0,,-,,,,,Ziefen,Liestal
72.201,Ausmattbächli,660,610,50,,,,0,,-,,,,,Ziefen,Liestal
72.202,Böschenmattbächli,720,280,440,,175,893,3,"grössere, ackerfähige Parzelle, ev. offene Führung entlang Parzellengrenze/Weg prüfen",72.202,Plan-link,Ziefen_Eindolungen_Bericht,Hans Recher (Erbengem.),,Ziefen,Liestal
72.203,Dochelenbächli,560,300,260,,,,0,,-,,,,,Ziefen,Liestal
72.204,Fraumattbach,650,510,140,,140,1098,5,offene Führung entlang Weg unbedingt anzustreben,72.204,Plan-link,Ziefen_Eindolungen_Bericht,"Kanton BL, Liestal",,Ziefen,Liestal
72.205,Gorisenbächli,270,260,10,,,,0,,-,,,,,Ziefen,Liestal
72.206,Höllbächli,600,230,370,,,,0,Baulicher Hochwasserschutz gemäss Wasserbaukonzept,-,,,,,Ziefen,Liestal
72.207,Mühlekanal (privat),520,450,70,,,,0,,-,,,,,Ziefen,Liestal
72.208,Plattengassbächli,160,160,0,,,,0,,-,,,,,Ziefen,Liestal
72.209,Rosacherbächli,270,160,110,,30,,4,"Eindolungsstrecke entlang Weg aufheben, siehe Foto zu 72.202",72.202/209,Plan-link,Ziefen_Eindolungen_Bericht,,,Ziefen,Liestal
72.210,Rütelenbächli,1530,1430,100,,,,0,,-,,,,,Ziefen,Liestal
72.211,Beuggenweidbächli,140,140,0,,,,0,,-,,,,,Ziefen,Liestal
72.212,Chilchbodenbächli,110,60,50,,,,0,,-,,,,,Ziefen,Liestal
72.213,Obertalrainbächli,190,190,0,,,,0,,-,,,,,Ziefen,Liestal
36.04,Ergolz,1990,1990,0,,,,0,Renaturierung gemäss Richtplan vorgesehen,-,,,,,Lausen,Liestal
,Drainage vom Hof Rüti zur Ergolz,,,,500,100,,3,"vermutlich nur geringe Wasserführung, aber ev. Quellüberlauf von 38.17.E, bereits sehr vielvältige Naturlandschaft mit angrenzenden Naturschutzgebieten",S. 1,Plan-link,Lausen_Eindolungen_Bericht,,,Lausen,Liestal
,Drainagen im Gebiet der ehemaligen Rebflächen (obere Grammontstrasse),,,,> 500,> 100,,3,,S. 2,Plan-link,Lausen_Eindolungen_Bericht,,,Lausen,Liestal
,Ableitung des Wassers aus den Drainagen im Gebiet Ringstrasse/Stutz,,,,300,> 100,,3,"ev. aufgrund der Tiefenlage ausgeschlossen, sonst als Gestaltungselement innerhalb des Quartierplans Stutz denkbar",S. 2,Plan-link,Lausen_Eindolungen_Bericht,,,Lausen,Liestal
36.92,Buechholdenbächli,1800,1550,250,,,,0,Baulicher Hochwasserschutz gemäss Wasserbaukonzept,-,,,,,Lausen,Liestal
36.133,Gewerbekanal (privat),1380,1160,220,,,,0,,-,,,,,Lausen,Liestal
36.142,Chueftelbächli,1040,540,500,,290,1007,0,"Bereich unter der Deponie ""Chueftel"" mit unterirdischem Zufluss des Bergwassers aus dem Arisdörfer-Tunnel; offene Bachführung für Teilstrom wurde im Rahmen des Deponieprojektes geprüft aber verworfen",-,Plan-link,,Gemeinde Lausen,,Lausen,Liestal
36.201,Chirchbergbächli,240,40,200,,,,0,,-,,,,,Lausen,Liestal
36.202,Furlenbächli,2200,1520,680,,,,0,"gemäss Wasserbaukonzept: Baulicher Hochwasserschutz  im Siedlungsgebiet, im oberen Abschnitt Revitalisierung vorgesehen",-,,,,,Lausen,Liestal
,Drainagesystem Heinisboden (östlich 36.202 Furlenbächli),,,,300,> 100,,3,"Nordast vermutlich nur geringe Wasserführung, Südast mit Quelle 38.5.F, Wasser versickert laut Plan im alten Steinbruch, gute Vernetzungswirkung zum Wald",S. 3,Plan-link,Lausen_Eindolungen_Bericht,,,Lausen,Liestal
,Drainagesystem im Gebiet Langacher (NW 36.202 Furlenbächli),,,,300,> 100,,4,"vermutlich nur geringe Wasserführung, entlang dem Bettlefeldweg als Vernetzungsachse / Landschaftselement prüfen",S. 4,Plan-link,Lausen_Eindolungen_Bericht,,,Lausen,Liestal
,Quelle mit Überlauf im Gebiet Bättlete ,,,,,,,4,bereits bestehende Feuchtstelle aufwerten und entlang der Hangkante mit Hecke zu Landschaftselement ausbauen,S. 5,Plan-link,Lausen_Eindolungen_Bericht,,,Lausen,Liestal
36.203,Edletenbächli,1170,1010,160,,,,0,,-,,,,,Lausen,Liestal
60.05,Orisbach,1900,1900,0,,,,0,ganze Strecke als Überflutungs-/Retentionsgebiet gemäss Wasserbaukonzept,-,,,,,Seltisberg,Liestal
60.08,Frenke,120,120,0,,,,0,,-,,,,,Seltisberg,Liestal
